time,"I(L1|XDUT)"
2.332500e-11,5.778197e-06
2.335000e-11,5.777927e-06
2.337500e-11,5.777676e-06
2.340000e-11,5.777443e-06
2.342500e-11,5.777229e-06
2.345000e-11,5.777034e-06
2.347500e-11,5.776858e-06
2.350000e-11,5.776700e-06
2.352500e-11,5.776561e-06
2.355000e-11,5.776439e-06
2.357500e-11,5.776336e-06
2.360000e-11,5.776250e-06
2.362500e-11,5.776181e-06
2.365000e-11,5.776128e-06
2.367500e-11,5.776090e-06
2.370000e-11,5.776068e-06
2.372500e-11,5.776061e-06
2.375000e-11,5.776066e-06
2.377500e-11,5.776085e-06
2.380000e-11,5.776115e-06
2.382500e-11,5.776156e-06
2.385000e-11,5.776208e-06
2.387500e-11,5.776268e-06
2.390000e-11,5.776336e-06
2.392500e-11,5.776411e-06
2.395000e-11,5.776492e-06
2.397500e-11,5.776577e-06
2.400000e-11,5.776666e-06
2.402500e-11,5.776757e-06
2.405000e-11,5.776850e-06
2.407500e-11,5.776943e-06
2.410000e-11,5.777034e-06
2.412500e-11,5.777124e-06
2.415000e-11,5.777210e-06
2.417500e-11,5.777293e-06
2.420000e-11,5.777369e-06
2.422500e-11,5.777440e-06
2.425000e-11,5.777503e-06
2.427500e-11,5.777558e-06
2.430000e-11,5.777603e-06
2.432500e-11,5.777639e-06
2.435000e-11,5.777664e-06
2.437500e-11,5.777676e-06
2.440000e-11,5.777677e-06
2.442500e-11,5.777664e-06
2.445000e-11,5.777638e-06
2.447500e-11,5.777598e-06
2.450000e-11,5.777543e-06
2.452500e-11,5.777473e-06
2.455000e-11,5.777388e-06
2.457500e-11,5.777287e-06
2.460000e-11,5.777170e-06
2.462500e-11,5.777037e-06
